TYPE,ENCODEDKEY,PARENTACCOUNTKEY,AMOUNT,date,reversalKey,REPAYMENTINSTALLMENTS,id
DISBURSMENT,8a10c7ed49c563400149c9aa7b4c34c5,8a10c7ed49c563400149c9aa4df6349b,9457.4000000000,19/11/2014,,8,1
REPAYMENT,8aad0e5f4a2b515f014a363ddb2e3563,8a10c7ed49c563400149c9aa4df6349b,1214.9000000000,10/12/2014,,8,1
REPAYMENT,8a688bfb4ab7696f014abb2ad86c1c90,8a10c7ed49c563400149c9aa4df6349b,1177.5000000000,05/01/2015,,8,1
REPAYMENT,8a1a17284b49b960014b4adcf09e3cef,8a10c7ed49c563400149c9aa4df6349b,505.0000000000,02/02/2015,,8,1
REPAYMENT,8a1a17284b49b960014b4add54b93cfa,8a10c7ed49c563400149c9aa4df6349b,200.0000000000,02/02/2015,,8,1
REPAYMENT,8a1ece854b51f1ad014b567ce1f542c1,8a10c7ed49c563400149c9aa4df6349b,337.5000000000,04/02/2015,,8,1
REPAYMENT,8a1ece854b51f1ad014b567d970042db,8a10c7ed49c563400149c9aa4df6349b,137.5000000000,04/02/2015,,8,1
REPAYMENT,8a62dddb4b51f19d014b6fdec3106799,8a10c7ed49c563400149c9aa4df6349b,5.0000000000,09/02/2015,,8,1
REPAYMENT,8aa21e054bde4022014be09fff0d57db,8a10c7ed49c563400149c9aa4df6349b,505.0000000000,03/03/2015,,8,1
REPAYMENT,8aa43f104c8d57c3014c90262cb13a3a,8a10c7ed49c563400149c9aa4df6349b,841.5000000000,06/04/2015,,8,1
REPAYMENT,8a2acc2d4cbcd87a014cbed069e94e5b,8a10c7ed49c563400149c9aa4df6349b,337.5000000000,15/04/2015,,8,1
REPAYMENT,8a3740b64d1e4d21014d1fb39a716fd0,8a10c7ed49c563400149c9aa4df6349b,842.5000000000,04/05/2015,,8,1
REPAYMENT,8a18336f4d43ac4f014d539bce914440,8a10c7ed49c563400149c9aa4df6349b,337.5000000000,14/05/2015,,8,1
REPAYMENT,8a1ee1064dde61c0014ddf56912c2fa4,8a10c7ed49c563400149c9aa4df6349b,336.5000000000,10/06/2015,8a1ee1064dde61c0014ddf94470f419c,8,1
REPAYMENT_ADJUSTMENT,8a1ee1064dde61c0014ddf94470f419c,8a10c7ed49c563400149c9aa4df6349b,-336.5000000000,10/06/2015,,8,1
REPAYMENT,8a1ee1064dde61c0014ddf9497cd41c2,8a10c7ed49c563400149c9aa4df6349b,337.5000000000,10/06/2015,,8,1
REPAYMENT,8a1ee1064dde61c0014ddf952d1041c8,8a10c7ed49c563400149c9aa4df6349b,336.5000000000,10/06/2015,,8,1
REPAYMENT,8a29909e4df74585014dfe9a05bf069d,8a10c7ed49c563400149c9aa4df6349b,1009.0000000000,16/06/2015,,8,1
REPAYMENT,8a38a87a4e44a194014e50118fea66ed,8a10c7ed49c563400149c9aa4df6349b,336.5000000000,02/07/2015,,8,1
REPAYMENT,8a6b9b704e68f1ad014e6f5cfa90776b,8a10c7ed49c563400149c9aa4df6349b,337.5000000000,08/07/2015,,8,1
REPAYMENT,8a3555fc4eba39f6014ebbb425bf1ca4,8a10c7ed49c563400149c9aa4df6349b,659.0000000000,23/07/2015,,8,1
DISBURSMENT,8a10c7ed49c563400149c9e7c95f490f,8a10c7ed49c563400149c9e7996c4900,4725.0000000000,19/11/2014,,7,2
REPAYMENT,8aad0e5f4a2b515f014a3644f0003686,8a10c7ed49c563400149c9e7996c4900,675.0000000000,10/12/2014,,7,2
REPAYMENT,8a688bfb4ab7696f014abb861d64298c,8a10c7ed49c563400149c9e7996c4900,675.0000000000,05/01/2015,,7,2
REPAYMENT,8a1ece854b51f1ad014b54ce19c2639b,8a10c7ed49c563400149c9e7996c4900,675.0000000000,04/02/2015,,7,2
REPAYMENT,8aa81dea4c0c98b9014c0fca058f30ca,8a10c7ed49c563400149c9e7996c4900,675.0000000000,12/03/2015,,7,2
REPAYMENT,8aa81dea4c0c98b9014c14ba04ff0964,8a10c7ed49c563400149c9e7996c4900,1625.0000000000,13/03/2015,,7,2
