loan_id,duedate,principal_amount,interest_amount,completed_derived,createdby_id,created_date,lastmodified_date,lastmodifiedby_id,recalculated_interest_component
NULL,2014-01-03,1433.3500000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,500.0000000000,157.5000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,0.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,0.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,279.8000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,333.3300000000,134.3700000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,317.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,311.0400000000,93.3100000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,468.4000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,345.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,0.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,30.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,274.2000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,0.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-03,610.5000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-14,0.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-11-21,0.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,691.1000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,388.8000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,671.8000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,21.4000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,642.0000000000,382.5000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,70.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,675.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,0.0000000000,141.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,0.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,510.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,453.3000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,127.5000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,255.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,10500.0000000000,427.5000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,520.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,420.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,750.0000000000,255.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,250.0000000000,141.6700000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,245.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,1005.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,251.3000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,661.1000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,845.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,878.9300000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,207.5000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,2175.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,154.6500000000,270.4000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,2500.0000000000,195.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,0.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,214.5000000000,127.5000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,208.7500000000,82.5000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,675.0000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
NULL,2014-12-03,1047.8000000000,0.0000000000,0,1,2016-02-01,2016-02-01,1,0
