TYPE,ENCODEDKEY,PARENTACCOUNTKEY,AMOUNT,date,reversalKey
DISBURSMENT,8a9d7e284b75fe4b014b7a06b9090bbd,8a9d7e284b75fe4b014b7a05572a0b1b,26312.09,11/2/2015,
FEE,8a9d7e284b75fe4b014b7a06b9b90bcc,8a9d7e284b75fe4b014b7a05572a0b1b,90,11/2/2015,
FEES_DUE_REDUCED,8a9c4d914b5d7f57014b7a5078587992,8a9d7e284b75fe4b014b7a05572a0b1b,-67.5,11/2/2015,
FEES_DUE_REDUCED,8a9c4d914b5d7f57014b7a54f85a7a4f,8a9d7e284b75fe4b014b7a05572a0b1b,-22.5,11/2/2015,
INTEREST_APPLIED,8a6f24ec4bc77a9b014bde45d2456bb0,8a9d7e284b75fe4b014b7a05572a0b1b,184.19,3/3/2015,8aa21e054bde4022014be07eabd04798
INTEREST_APPLIED_ADJUSTMENT,8aa21e054bde4022014be07eabd04798,8a9d7e284b75fe4b014b7a05572a0b1b,-184.19,3/3/2015,
REPAYMENT,8aa21e054bde4022014be07ee852479c,8a9d7e284b75fe4b014b7a05572a0b1b,2400,3/3/2015,
DEFERRED_INTEREST_APPLIED,8aa21e054bde4022014be07ee84c479b,8a9d7e284b75fe4b014b7a05572a0b1b,207.33,3/3/2015,
INTEREST_APPLIED,8a6f24ec4bc77a9b014be36c3849732f,8a9d7e284b75fe4b014b7a05572a0b1b,184.19,4/3/2015,
DEFERRED_INTEREST_PAID,8a6f24ec4bc77a9b014be36c38627330,8a9d7e284b75fe4b014b7a05572a0b1b,184.19,4/3/2015,
INTEREST_APPLIED,8a8d3af24c4d5ff7014c7de9f3a66621,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/4/2015,8aa43f104c8d57c3014c90185e1a3875
DEFERRED_INTEREST_PAID,8a8d3af24c4d5ff7014c7de9f3a86622,8a9d7e284b75fe4b014b7a05572a0b1b,23.14,3/4/2015,8aa43f104c8d57c3014c90185e0b3874
INTEREST_APPLIED_ADJUSTMENT,8aa43f104c8d57c3014c90185e1a3875,8a9d7e284b75fe4b014b7a05572a0b1b,-263.12,6/4/2015,
DEFERRED_INTEREST_PAID_ADJUSTMENT,8aa43f104c8d57c3014c90185e0b3874,8a9d7e284b75fe4b014b7a05572a0b1b,-23.14,6/4/2015,
DEFERRED_INTEREST_APPLIED,8aa43f104c8d57c3014c90189db1387d,8a9d7e284b75fe4b014b7a05572a0b1b,307.33,6/4/2015,
REPAYMENT,8aa43f104c8d57c3014c90189db7387e,8a9d7e284b75fe4b014b7a05572a0b1b,2500,6/4/2015,
DEFERRED_INTEREST_PAID,8a8d3af24c4d5ff7014c927f32a96a18,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,7/4/2015,
INTEREST_APPLIED,8a8d3af24c4d5ff7014c927f32a76a17,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,7/4/2015,
REPAYMENT,8a1ee1164d0a1de5014d0bce98445f60,8a9d7e284b75fe4b014b7a05572a0b1b,2500,30/04/2015,
DEFERRED_INTEREST_APPLIED,8a1ee1164d0a1de5014d0bce98415f5f,8a9d7e284b75fe4b014b7a05572a0b1b,307.33,30/04/2015,
INTEREST_APPLIED,8ae6235e4d068d6a014d186407f02604,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/5/2015,
DEFERRED_INTEREST_PAID,8ae6235e4d068d6a014d186407f32605,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/5/2015,
REPAYMENT,8a24a6184db064bc014db10f6bc2391b,8a9d7e284b75fe4b014b7a05572a0b1b,2500,1/6/2015,
DEFERRED_INTEREST_APPLIED,8a24a6184db064bc014db10f6bbd3919,8a9d7e284b75fe4b014b7a05572a0b1b,307.33,1/6/2015,
DEFERRED_INTEREST_PAID,8a0e39c94db07f5e014db809aa164827,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/6/2015,
INTEREST_APPLIED,8a0e39c94db07f5e014db809aa064826,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/6/2015,
INTEREST_APPLIED,8a2734654e400c4a014e5287ec590dd6,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/7/2015,
DEFERRED_INTEREST_PAID,8a2734654e400c4a014e5287ec5a0dd7,8a9d7e284b75fe4b014b7a05572a0b1b,155.77,3/7/2015,
REPAYMENT,8a6b81dc4ed5a3fd014edbb4f2835119,8a9d7e284b75fe4b014b7a05572a0b1b,2500,29/07/2015,
DEFERRED_INTEREST_APPLIED,8a6b81dc4ed5a3fd014edbb4f2725118,8a9d7e284b75fe4b014b7a05572a0b1b,199.98,29/07/2015,
DEFERRED_INTEREST_PAID,8a10eb704ee43411014ef22de58217ec,8a9d7e284b75fe4b014b7a05572a0b1b,199.98,3/8/2015,8a1a02db4ee571b1014ef59de9f963ae
INTEREST_APPLIED,8a10eb704ee43411014ef22de57517eb,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/8/2015,8a1a02db4ee571b1014ef59dea1963af
DEFERRED_INTEREST_PAID_ADJUSTMENT,8a1a02db4ee571b1014ef59de9f963ae,8a9d7e284b75fe4b014b7a05572a0b1b,-199.98,3/8/2015,
