TYPE,ENCODEDKEY,PARENTACCOUNTKEY,AMOUNT,date,reversalKey,REPAYMENTINSTALLMENTS,id
REPAYMENT,8a1a32484fef598a014ff41f98022f99,8a10d10b4fbde467014fc954e38431fc,250.0000000000,22/09/2015,,25,92
REPAYMENT,8a18166c505fdd96015063e0292404f1,8a10d10b4fbde467014fc954e38431fc,250.0000000000,14/10/2015,,25,92
REPAYMENT,8a18166c505fdd9601506412ba6a0c2c,8a10d10b4fbde467014fc954e38431fc,250.0000000000,14/10/2015,,25,92
REPAYMENT,8a1a33825080471701508843cd9902f7,8a10d10b4fbde467014fc954e38431fc,250.0000000000,21/10/2015,,25,92
REPAYMENT,8a1a287a510f55360151135793025add,8a10d10b4fbde467014fc954e38431fc,250.0000000000,17/11/2015,,25,92
REPAYMENT,8a1333885147f28701515b4762ff3d13,8a10d10b4fbde467014fc954e38431fc,250.0000000000,01/12/2015,,25,92
REPAYMENT,8a2aae634ff5c3ff014ff7a2eb6605a5,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,23/09/2015,,25,93
REPAYMENT,8a2aa406501949a301501bbd33ac652c,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,30/09/2015,,25,93
REPAYMENT,8a2aa6ab501e375501503cb843260050,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,06/10/2015,,25,93
REPAYMENT,8a18166c505fdd96015063f2b69805e7,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,14/10/2015,,25,93
REPAYMENT,8a298ecb5070085b0150848efac53873,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,20/10/2015,,25,93
REPAYMENT,8a1344d050a8d7360150ac1b087b1df2,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,28/10/2015,,25,93
REPAYMENT,8a182b1350c879140150d1cc541c5e0d,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,04/11/2015,,25,93
REPAYMENT,8a370f9350f2e8070150f40cbf9a0d08,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,11/11/2015,,25,93
REPAYMENT,8a1a287a510f553601511d7d9c204b83,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,19/11/2015,,25,93
REPAYMENT,8a25918c513dd4b80151413605784a78,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,26/11/2015,,25,93
REPAYMENT,8a6a89da5157357e0151609e810a7c6f,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,02/12/2015,,25,93
REPAYMENT,8a1a1808517b8ecf015184c3917455da,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,09/12/2015,,25,93
REPAYMENT,8a81880651a459380151a86f235d346f,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,16/12/2015,,25,93
REPAYMENT,8a81895c5213543d015219cb2a9577fd,8a10d10b4fbde467014fca6ea45a42c3,550.0000000000,07/01/2016,,25,93
REPAYMENT,8a8188cf522f9315015234f13ec53993,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,12/01/2016,,25,93
REPAYMENT,8a8189f0525de04801525e4ceaa50c4d,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,20/01/2016,,25,93
REPAYMENT,8a8188bc526ade0801527d15431620bc,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,26/01/2016,,25,93
REPAYMENT,8a81894c52a382d40152aab692c70613,8a10d10b4fbde467014fca6ea45a42c3,250.0000000000,04/02/2016,,25,93
REPAYMENT,8a2aae634ff5c3ff014ff7a2ec1e05ab,8a10d10b4fbde467014fca81191a44d1,250.0000000000,23/09/2015,,25,94
REPAYMENT,8a2aa406501949a301501bbd34656532,8a10d10b4fbde467014fca81191a44d1,250.0000000000,30/09/2015,,25,94
REPAYMENT,8a2aa6ab501e375501503cb8442f0055,8a10d10b4fbde467014fca81191a44d1,250.0000000000,06/10/2015,,25,94
REPAYMENT,8a18166c505fdd96015063f2b7bf05ed,8a10d10b4fbde467014fca81191a44d1,250.0000000000,14/10/2015,,25,94
REPAYMENT,8a298ecb5070085b0150848efc0d3878,8a10d10b4fbde467014fca81191a44d1,250.0000000000,20/10/2015,,25,94
REPAYMENT,8a1344d050a8d7360150ac1b09881df8,8a10d10b4fbde467014fca81191a44d1,250.0000000000,28/10/2015,,25,94
REPAYMENT,8a182b1350c879140150d1cc56885e13,8a10d10b4fbde467014fca81191a44d1,250.0000000000,04/11/2015,,25,94
REPAYMENT,8a370f9350f2e8070150f40cc13f0d10,8a10d10b4fbde467014fca81191a44d1,250.0000000000,11/11/2015,,25,94
REPAYMENT,8a1a287a510f553601511d7d9d3e4b89,8a10d10b4fbde467014fca81191a44d1,250.0000000000,19/11/2015,,25,94
REPAYMENT,8a25918c513dd4b801514136085a4a7e,8a10d10b4fbde467014fca81191a44d1,250.0000000000,26/11/2015,,25,94
REPAYMENT,8a6a89da5157357e0151609e828f7c75,8a10d10b4fbde467014fca81191a44d1,250.0000000000,02/12/2015,,25,94
REPAYMENT,8a1a1808517b8ecf015184c392a755e0,8a10d10b4fbde467014fca81191a44d1,250.0000000000,09/12/2015,,25,94
REPAYMENT,8a81880651a459380151a86f24c13475,8a10d10b4fbde467014fca81191a44d1,250.0000000000,16/12/2015,,25,94
REPAYMENT,8a81895c5213543d015219cb2b5a7802,8a10d10b4fbde467014fca81191a44d1,350.0000000000,07/01/2016,,25,94
REPAYMENT,8a8188cf522f9315015234f140343999,8a10d10b4fbde467014fca81191a44d1,250.0000000000,12/01/2016,,25,94
REPAYMENT,8a8189f0525de04801525e4ceca00c52,8a10d10b4fbde467014fca81191a44d1,250.0000000000,20/01/2016,,25,94
REPAYMENT,8a8188bc526ade0801527d164c8420d6,8a10d10b4fbde467014fca81191a44d1,250.0000000000,26/01/2016,,25,94
REPAYMENT,8a81894c52a382d40152aab72a09065e,8a10d10b4fbde467014fca81191a44d1,250.0000000000,04/02/2016,,25,94
REPAYMENT,8a2aa406501949a301501bbd351f6538,8a10d10b4fbde467014fca921adc46b6,250.0000000000,30/09/2015,,25,95
REPAYMENT,8a2aa6ab501e375501503cb844f7005a,8a10d10b4fbde467014fca921adc46b6,250.0000000000,06/10/2015,,25,95
REPAYMENT,8a18166c505fdd96015063f2b8aa05f3,8a10d10b4fbde467014fca921adc46b6,250.0000000000,14/10/2015,,25,95
REPAYMENT,8a298ecb5070085b0150848efd75387d,8a10d10b4fbde467014fca921adc46b6,250.0000000000,20/10/2015,,25,95
REPAYMENT,8a1344d050a8d7360150ac1b0a8e1dfe,8a10d10b4fbde467014fca921adc46b6,250.0000000000,28/10/2015,,25,95
REPAYMENT,8a182b1350c879140150d1cc58e65e19,8a10d10b4fbde467014fca921adc46b6,250.0000000000,04/11/2015,,25,95
REPAYMENT,8a370f9350f2e8070150f40cc2d20d1a,8a10d10b4fbde467014fca921adc46b6,250.0000000000,11/11/2015,,25,95
REPAYMENT,8a1a287a510f553601511d7d9e4e4b8f,8a10d10b4fbde467014fca921adc46b6,250.0000000000,19/11/2015,,25,95
REPAYMENT,8a25918c513dd4b8015141360a5d4a84,8a10d10b4fbde467014fca921adc46b6,250.0000000000,26/11/2015,,25,95
REPAYMENT,8a6a89da5157357e0151609e84077c7b,8a10d10b4fbde467014fca921adc46b6,250.0000000000,02/12/2015,,25,95
REPAYMENT,8a1a1808517b8ecf015184c393ad55e6,8a10d10b4fbde467014fca921adc46b6,250.0000000000,09/12/2015,,25,95
REPAYMENT,8a81880651a459380151a86f261c347b,8a10d10b4fbde467014fca921adc46b6,250.0000000000,16/12/2015,,25,95
REPAYMENT,8a81895c5213543d015219cb2c047807,8a10d10b4fbde467014fca921adc46b6,550.0000000000,07/01/2016,,25,95
